Week,Unique Week,Season,Date,Home Ranking,Home Team,Home Score,Away Ranking,Away Team,Away Score,OT,Location
,,1901,11/22/1901,,Navy,5,,Columbia,6,,
,,1901,11/23/1901,,Michigan,89,,Beloit,0,,
,,1901,11/23/1901,,Andover,11,,Boston College,0,,
,,1901,11/23/1901,,Maine,22,,Bowdoin,5,,
,,1901,11/23/1901,,Athens A.C.,6,,Bucknell,17,,
,,1901,11/23/1901,,Washington & Jefferson,0,,Carlisle,0,,"@ Pittsburgh, PA"
,,1901,11/23/1901,,Penn State,12,,Dickinson,0,,
,,1901,11/23/1901,,Drake,0,,Grinnell,5,,
,,1901,11/23/1901,,Ohio State,6,,Indiana,18,,
,,1901,11/23/1901,,Lehigh,0,,Lafayette,41,,
,,1901,11/23/1901,,Northwestern,0,,Minnesota,16,,"@ Chicago, IL"
,,1901,11/23/1901,,Army,24,,Pennsylvania,0,,
,,1901,11/23/1901,,Notre Dame,34,,Physicians & Surgeons,0,,
,,1901,11/23/1901,,Dartmouth,24,,St. Paul's (New Hampshire),0,,
,,1901,11/23/1901,,Kansas,12,,Texas,0,,
,,1901,11/23/1901,,Holy Cross,17,,Tufts,5,,
,,1901,11/23/1901,,Cornell,67,,Vermont,0,,
,,1901,11/23/1901,,Amherst,11,,Wesleyan,15,,
,,1901,11/23/1901,,Massachusetts,0,,Williams,17,,
,,1901,11/23/1901,,Harvard,22,,Yale,0,,
,,1901,11/27/1901,,Brown,0,,Dartmouth,22,,
,,1901,11/28/1901,,Williams,21,,Amherst,5,,
,,1901,11/28/1901,,Milwaukee Medical,0,,Beloit,11,,
,,1901,11/28/1901,,Massachusetts,11,,Boston College,0,,
,,1901,11/28/1901,,Columbia,40,,Carlisle,12,,
,,1901,11/28/1901,,Pennsylvania,6,,Cornell,23,,
,,1901,11/28/1901,,Indiana,24,,DePauw,0,,
,,1901,11/28/1901,,Lafayette,29,,Dickinson,0,,
,,1901,11/28/1901,,Lehigh,0,,Georgetown,22,,
,,1901,11/28/1901,,Nebraska,18,,Haskell,10,,
,,1901,11/28/1901,,Michigan,50,,Iowa,0,,"@ Chicago, IL"
,,1901,11/28/1901,,Simpson,12,,Iowa State,0,,
,,1901,11/28/1901,,Missouri,18,,Kansas,12,,"@ Kansas City, MO"
,,1901,11/28/1901,,Illinois,0,,Minnesota,16,,
,,1901,11/28/1901,,Purdue,5,,Northwestern,10,,
,,1901,11/28/1901,,Notre Dame,22,,South Bend A.C.,6,,
,,1901,11/28/1901,,Newburyport A.C.,10,,Tufts,10,,
,,1901,11/28/1901,,Chicago,0,,Wisconsin,35,,
,,1901,11/30/1901,,Navy,5,,Army,11,,"@ Philadelphia, PA"
,,1901,1/1/1902,,Stanford,0,,Michigan,49,,"@ Pasadena, CA"
,,1902,9/13/1902,,Chicago,5,,North Division High,0,,
,,1902,9/17/1902,,Chicago,37,,Englewood High,0,,
,,1902,9/20/1902,,Syracuse,21,,Cortland State,0,,
,,1902,9/20/1902,,Penn State,27,,Dickinson Seminary,0,,
,,1902,9/20/1902,,Northwestern,15,,Fort Sheridan,0,,
,,1902,9/20/1902,,Grinnell,0,,Grinnell Alumni,0,,
,,1902,9/20/1902,,American Osteopath,5,,Haskell,6,,
,,1902,9/20/1902,,Carlisle,48,,Lebanon Valley,0,,
,,1902,9/20/1902,,Nebraska,27,,Lincoln High,0,,
,,1902,9/20/1902,,Chicago,27,,Lombard,6,,
,,1902,9/20/1902,,Georgetown,27,,Maryland,0,,
,,1902,9/20/1902,,Illinois,34,,North Division High,6,,
,,1902,9/20/1902,,Knox,46,,Rock Island A.C.,0,,
,,1902,9/20/1902,,Minnesota,0,,St. Paul Central High,0,,
,,1902,9/20/1902,,Boston College,0,,Tufts,6,,
,,1902,9/24/1902,,North Carolina,16,,Guilford,0,,
,,1902,9/24/1902,,Chicago,6,,Hyde Park High,5,,
,,1902,9/24/1902,,Minnesota,28,,Minneapolis Central High,0,,
,,1902,9/27/1902,,Michigan,88,,Albion,0,,
,,1902,9/27/1902,,Wesleyan,16,,Boston College,6,,
,,1902,9/27/1902,,Colorado,12,,Boulder High,0,,
,,1902,9/27/1902,,Minnesota,33,,Carleton,0,,
,,1902,9/27/1902,,Cornell,5,,Colgate,0,,
,,1902,9/27/1902,,Colorado College,6,,Colorado Springs High,12,,
,,1902,9/27/1902,,Nebraska,51,,Doane,0,,
,,1902,9/27/1902,,Illinois,45,,Englewood High,0,,
,,1902,9/27/1902,,Purdue,56,,Franklin,0,,
,,1902,9/27/1902,,Beloit,65,,Freeport High,0,,
,,1902,9/27/1902,,Lafayette,23,,Gallaudet,0,,
,,1902,9/27/1902,,Navy,0,,Georgetown,4,,
,,1902,9/27/1902,,Carlisle,25,,Gettysburg,0,,
,,1902,9/27/1902,,Colorado Mines,5,,Golden High,5,,
,,1902,9/27/1902,,Grinnell,0,,Grinnell High,0,,
,,1902,9/27/1902,,Wisconsin,11,,Lawrence,0,,
,,1902,9/27/1902,,Dickinson,17,,Lebanon Valley,0,,
,,1902,9/27/1902,,Pennsylvania,12,,Lehigh,0,,
,,1902,9/27/1902,,Holy Cross,0,,Massachusetts,0,,
,,1902,9/27/1902,,Notre Dame,33,,Michigan State,0,,
,,1902,9/27/1902,,Chicago,24,,Monmouth,0,,
,,1902,9/27/1902,,Sewanee,39,,Mooney,0,,
,,1902,9/27/1902,,Northwestern,10,,North Central,5,,
,,1902,9/27/1902,,Davidson,28,,Oak Ridge,5,,
,,1902,9/27/1902,,Syracuse,34,,Onondaga,0,,
,,1902,9/27/1902,,Penn State,27,,Pittsburgh,0,,
,,1902,9/27/1902,,Bucknell,6,,Steelton YMCA,0,,
,,1902,9/27/1902,,Princeton,18,,Swarthmore,0,,
,,1902,9/27/1902,,Yale,40,,Trinity (Connecticut),0,,
,,1902,9/27/1902,,Maine,12,,Tufts,0,,
,,1902,9/27/1902,,Knox,45,,Upper Iowa,0,,
,,1902,9/27/1902,,Cumberland,0,,Vanderbilt,45,,
,,1902,9/27/1902,,Vermont,54,,Vermont Methodist Seminary,0,,
,,1902,9/27/1902,,Haskell,29,,Washburn,0,,
,,1902,9/27/1902,,Virginia,16,,Washington & Lee,0,,
,,1902,9/27/1902,,Harvard,11,,Williams,0,,
,,1902,9/28/1902,,Iowa State,35,,Still,0,,
,,1902,9/29/1902,,Kansas,6,,Wichita State,0,,
,,1902,10/1/1902,,Illinois,22,,American Osteopath,0,,
,,1902,10/1/1902,,Union (New York),0,,Amherst,16,,
,,1902,10/1/1902,,Harvard,17,,Bowdoin,6,,
,,1902,10/1/1902,,Northwestern,11,,Chicago Dental,0,,
,,1902,10/1/1902,,Chicago,53,,Fort Sheridan,0,,
,,1902,10/1/1902,,Pennsylvania,16,,Franklin & Marshall,0,,
,,1902,10/1/1902,,Princeton,23,,Lehigh,0,,
,,1902,10/1/1902,,Cornell,31,,Rochester,0,,
,,1902,10/1/1902,,Yale,34,,Tufts,6,,
,,1902,10/1/1902,,Dickinson,5,,Ursinus,6,,
,,1902,10/1/1902,,Brown,0,,Vermont,0,,
,,1902,10/3/1902,,Bingham,0,,Furman,12,,
,,1902,10/4/1902,,Yale,23,,Amherst,0,,
,,1902,10/4/1902,,Harvard,23,,Bates,0,,
,,1902,10/4/1902,,Buffalo,0,,Bucknell,29,,
,,1902,10/4/1902,,Michigan,48,,Case,6,,
,,1902,10/4/1902,,Beloit,5,,Chicago Dental,0,,
,,1902,10/4/1902,,Syracuse,47,,Clarkson,0,,
,,1902,10/4/1902,,Rutgers,0,,Columbia,43,,
,,1902,10/4/1902,,Denver A.C.,15,,Denver,5,,
,,1902,10/4/1902,,Colorado Mines,15,,Denver Manual High,0,,
,,1902,10/4/1902,,Purdue,39,,DePauw,0,,
,,1902,10/4/1902,,Drake,11,,Grinnell,0,,
,,1902,10/4/1902,,Williams,6,,Hamilton,5,,
,,1902,10/4/1902,,Wisconsin,24,,Hyde Park High,5,,
,,1902,10/4/1902,,Minnesota,16,,Iowa State,0,,
,,1902,10/4/1902,,Kansas,16,,Kansas State,0,,
,,1902,10/4/1902,,Chicago,5,,Knox,0,,
,,1902,10/4/1902,,Northwestern,26,,Lake Forest,0,,
,,1902,10/4/1902,,Boston College,0,,Massachusetts,30,,
,,1902,10/4/1902,,Illinois,33,,Monmouth,0,,
,,1902,10/4/1902,,Colorado,0,,Nebraska,10,,
,,1902,10/4/1902,,Clemson,11,,North Carolina State,5,,
,,1902,10/4/1902,,Iowa,26,,Northern Iowa,5,,
,,1902,10/4/1902,,North Carolina,35,,Oak Ridge,0,,
,,1902,10/4/1902,,Texas,22,,Oklahoma,6,,
,,1902,10/4/1902,,Pennsylvania,17,,Penn State,0,,
,,1902,10/4/1902,,Navy,0,,Princeton,11,,
,,1902,10/4/1902,,Virginia,15,,St. Albans,0,,
,,1902,10/4/1902,,Georgetown,18,,St. John's (Maryland),0,,
,,1902,10/4/1902,,Lafayette,53,,Susquehanna,0,,
,,1902,10/4/1902,,Army,5,,Tufts,0,,
,,1902,10/4/1902,,Cornell,42,,Union (New York),0,,
,,1902,10/4/1902,,Dartmouth,11,,Vermont,0,,
,,1902,10/4/1902,,Indiana,34,,Wabash,0,,
,,1902,10/4/1902,,Lombard,0,,Washington (Missouri),0,,
,,1902,10/4/1902,,Brown,5,,Wesleyan,0,,
,,1902,10/4/1902,,Holy Cross,10,,Worcester Tech,0,,
,,1902,10/6/1902,,Furman,0,,North Carolina State,0,,
,,1902,10/8/1902,,Harvard,6,,Amherst,0,,
,,1902,10/8/1902,,Chicago,21,,Cornell (Iowa),0,,
,,1902,10/8/1902,,Columbia,45,,Fordham,0,,
,,1902,10/8/1902,,Lafayette,14,,Gettysburg,0,,
,,1902,10/8/1902,,Minnesota,59,,Hamline,0,,
,,1902,10/8/1902,,Illinois,24,,Haskell,10,,
,,1902,10/8/1902,,Pennsylvania,18,,Haverford,5,,
,,1902,10/8/1902,,Cornell,57,,Hobart,0,,
,,1902,10/8/1902,,Dartmouth,0,,Massachusetts,0,,
,,1902,10/8/1902,,Michigan,119,,Michigan State,0,,
,,1902,10/8/1902,,Yale,35,,Wesleyan,0,,
,,1902,10/10/1902,,Alabama,57,,Birmingham High,0,,
,,1902,10/10/1902,,Davidson,0,,Furman,6,,
,,1902,10/10/1902,,Texas,11,,Sewanee,0,,"@ Dallas, TX"
,,1902,10/11/1902,,Georgia Tech,6,,Auburn,18,,
,,1902,10/11/1902,,Minnesota,29,,Beloit,0,,
,,1902,10/11/1902,,Columbia,5,,Buffalo,0,,
,,1902,10/11/1902,,Bucknell,16,,Carlisle,0,,"@ Williamsport, PA"
,,1902,10/11/1902,,Syracuse,23,,Colgate,0,,
,,1902,10/11/1902,,Colorado Mines,36,,Colorado Springs High,0,,
,,1902,10/11/1902,,Utah State,5,,Colorado State,24,,
,,1902,10/11/1902,,Colorado,24,,Denver,0,,
,,1902,10/11/1902,,Colorado College,11,,Denver A.C.,6,,
,,1902,10/11/1902,,Army,11,,Dickinson,0,,
,,1902,10/11/1902,,North Carolina,10,,Furman,0,,
,,1902,10/11/1902,,Nebraska,17,,Grinnell,0,,
,,1902,10/11/1902,,Princeton,30,,Haverford,0,,
,,1902,10/11/1902,,Amherst,29,,Holy Cross,5,,
,,1902,10/11/1902,,Michigan,60,,Indiana,0,,
,,1902,10/11/1902,,Drake,0,,Iowa,12,,
,,1902,10/11/1902,,Northern Iowa,0,,Iowa State,52,,
,,1902,10/11/1902,,Tennessee,12,,King,0,,
,,1902,10/11/1902,,Quincy A.C.,0,,Knox,10,,
,,1902,10/11/1902,,Notre Dame,28,,Lake Forest,0,,
,,1902,10/11/1902,,Wisconsin,52,,Lawrence,0,,
,,1902,10/11/1902,,Harvard,22,,Maine,0,,
,,1902,10/11/1902,,Vanderbilt,29,,Mississippi,0,,
,,1902,10/11/1902,,Chicago,33,,Purdue,0,,
,,1902,10/11/1902,,Northwestern,11,,Rush Medical,0,,
,,1902,10/11/1902,,Missouri,11,,Simpson,6,,
,,1902,10/11/1902,,Wesleyan,0,,Springfield,0,,
,,1902,10/11/1902,,Pennsylvania,11,,Swarthmore,6,,
,,1902,10/11/1902,,Dartmouth,29,,Tufts,0,,
,,1902,10/11/1902,,Penn State,32,,Villanova,0,,
,,1902,10/11/1902,,Nashville,0,,Virginia,27,,
,,1902,10/11/1902,,Georgetown,23,,Virginia Military Institute,11,,
,,1902,10/11/1902,,Washington & Lee,6,,Virginia Tech,0,,"@ Lynchburg, VA"
,,1902,10/11/1902,,Kansas,34,,Washburn,0,,
,,1902,10/11/1902,,Illinois,44,,Washington (Missouri),0,,
,,1902,10/11/1902,,Cornell,37,,Williams,6,,
,,1902,10/11/1902,,Brown,0,,Yale,10,,
,,1902,10/12/1902,,Lehigh,34,,Rutgers,0,,
,,1902,10/13/1902,,North Carolina State,2,,Furman,5,,
,,1902,10/13/1902,,Alabama,81,,Marion,0,,
,,1902,10/14/1902,,Washington & Jefferson,0,,Lafayette,12,,
,,1902,10/15/1902,,Carlisle,50,,Bloomsburg,0,,
,,1902,10/15/1902,,Pennsylvania,36,,Gettysburg,0,,
,,1902,10/15/1902,,Navy,5,,Lehigh,5,,
,,1902,10/15/1902,,Columbia,24,,Swarthmore,0,,
,,1902,10/15/1902,,Williams,0,,Troy Laureates,5,,
,,1902,10/15/1902,,Yale,32,,Vermont,0,,
,,1902,10/15/1902,,Harvard,35,,Wesleyan,5,,
,,1902,10/16/1902,,Louisiana-Lafayette,0,,Louisiana State,42,,
,,1902,10/17/1902,,Mississippi State,6,,Cumberland,15,,
,,1902,10/17/1902,,Knox,18,,Eureka,0,,
,,1902,10/18/1902,,Auburn,23,,Alabama,0,,"@ Birmingham, AL"
,,1902,10/18/1902,,Syracuse,15,,Amherst,0,,
,,1902,10/18/1902,,Wisconsin,52,,Beloit,6,,"@ Milwaukee, WI"
,,1902,10/18/1902,,Bates,17,,Boston College,5,,
,,1902,10/18/1902,,Pennsylvania,6,,Brown,15,,
,,1902,10/18/1902,,Pittsburgh,24,,Bucknell,0,,
,,1902,10/18/1902,,Cornell,6,,Carlisle,10,,
,,1902,10/18/1902,,Sewanee,6,,Central (Kentucky),0,,
,,1902,10/18/1902,,Northwestern,0,,Chicago,12,,"@ Chicago, IL"
,,1902,10/18/1902,,Georgia Tech,5,,Clemson,44,,
,,1902,10/18/1902,,Colorado,11,,Colorado State,6,,
,,1902,10/18/1902,,Mississippi,38,,Cumberland,0,,
,,1902,10/18/1902,,Williams,0,,Dartmouth,18,,
,,1902,10/18/1902,,North Carolina,27,,Davidson,0,,"@ Charlotte, NC"
,,1902,10/18/1902,,Colorado Mines,10,,Denver,5,,
,,1902,10/18/1902,,Indiana,16,,DePauw,5,,
,,1902,10/18/1902,,Georgia,11,,Furman,0,,
,,1902,10/18/1902,,Iowa State,23,,Grinnell,0,,
,,1902,10/18/1902,,Columbia,35,,Hamilton,0,,
,,1902,10/18/1902,,Army,6,,Harvard,14,,
,,1902,10/18/1902,,Missouri,0,,Haskell,40,,"@ Kansas City, MO"
,,1902,10/18/1902,,Simpson,0,,Iowa,10,,
,,1902,10/18/1902,,Kansas,13,,Kansas City Medical,0,,
,,1902,10/18/1902,,Texas,0,,Louisiana State,5,,"@ San Antonio, TX"
,,1902,10/18/1902,,Lafayette,38,,Manhattan,5,,
,,1902,10/18/1902,,Wesleyan,6,,Massachusetts,5,,
,,1902,10/18/1902,,Notre Dame,0,,Michigan,23,,"@ Toledo, OH"
,,1902,10/18/1902,,Minnesota,0,,Nebraska,6,,
,,1902,10/18/1902,,Virginia Tech,11,,North Carolina State,6,,
,,1902,10/18/1902,,Drake,36,,Northern Iowa,5,,
,,1902,10/18/1902,,Yale,11,,Penn State,0,,
,,1902,10/18/1902,,Illinois,29,,Purdue,5,,
,,1902,10/18/1902,,Washington (Missouri),33,,Rose-Hulman,0,,
,,1902,10/18/1902,,Vermont,16,,St. Lawrence,0,,
,,1902,10/18/1902,,Tulane,26,,Tulane Alumni,0,,
,,1902,10/18/1902,,Centre,17,,Vanderbilt,24,,
,,1902,10/18/1902,,Transylvania,0,,Virginia,12,,
,,1902,10/18/1902,,Princeton,23,,Washington & Jefferson,5,,
,,1902,10/18/1902,,Holy Cross,11,,Worcester Tech,0,,
,,1902,10/21/1902,,Tennessee,34,,Maryville,0,,
,,1902,10/22/1902,,Princeton,23,,Dickinson,0,,
,,1902,10/22/1902,,Navy,10,,Pennsylvania,6,,
,,1902,10/22/1902,,Lehigh,41,,Union (New York),0,,
,,1902,10/22/1902,,Williams,5,,Vermont,5,,
,,1902,10/24/1902,,Furman,0,,Clemson,28,,
,,1902,10/25/1902,,Dartmouth,6,,Amherst,12,,
,,1902,10/25/1902,,Boston College,0,,Andover,24,,
,,1902,10/25/1902,,Tulane,0,,Auburn,0,,
,,1902,10/25/1902,,Davidson,6,,Bingham,16,,
,,1902,10/25/1902,,Harvard,6,,Brown,0,,
,,1902,10/25/1902,,Pennsylvania,6,,Bucknell,5,,
,,1902,10/25/1902,,Purdue,5,,Case,0,,
,,1902,10/25/1902,,Colorado College,6,,Colorado,12,,
,,1902,10/25/1902,,Utah,0,,Colorado State,0,,
,,1902,10/25/1902,,Princeton,21,,Columbia,0,,
,,1902,10/25/1902,,Grinnell,30,,Des Moines,0,,
,,1902,10/25/1902,,Navy,0,,Dickinson,6,,
,,1902,10/25/1902,,Simpson,6,,Drake,5,,
,,1902,10/25/1902,,Denver,0,,East Denver High,0,,
,,1902,10/25/1902,,Georgia Tech,0,,Georgia,0,,
,,1902,10/25/1902,,Union (New York),0,,Hamilton,31,,
,,1902,10/25/1902,,Washburn,5,,Haskell,41,,
,,1902,10/25/1902,,Chicago,6,,Illinois,0,,
,,1902,10/25/1902,,Cornell (Iowa),17,,Iowa State,15,,
,,1902,10/25/1902,,Wisconsin,38,,Kansas,0,,
,,1902,10/25/1902,,Northwestern,0,,Knox,15,,
,,1902,10/25/1902,,Carlisle,63,,Medico-Chirurgical,0,,
,,1902,10/25/1902,,Iowa,0,,Minnesota,34,,
,,1902,10/25/1902,,Mississippi State,0,,Mississippi,21,,
,,1902,10/25/1902,,Nebraska,12,,Missouri,0,,"@ St. Joseph, MO"
,,1902,10/25/1902,,Lehigh,46,,New York University,0,,
,,1902,10/25/1902,,Virginia Tech,0,,North Carolina,0,,"@ Roanoke, VA"
,,1902,10/25/1902,,St. Albans,0,,North Carolina State,10,,"@ Roanoke, VA"
,,1902,10/25/1902,,Indiana,5,,Notre Dame,11,,
,,1902,10/25/1902,,Cornell,57,,Oberlin,0,,
,,1902,10/25/1902,,Michigan,86,,Ohio State,0,,
,,1902,10/25/1902,,Washington (Missouri),6,,Sewanee,22,,
,,1902,10/25/1902,,Virginia,22,,St. John's (Maryland),0,,
,,1902,10/25/1902,,Penn State,55,,Susquehanna,0,,
,,1902,10/25/1902,,Yale,24,,Syracuse,0,,
,,1902,10/25/1902,,Texas A&M,0,,Texas,0,,"@ San Antonio, TX"
,,1902,10/25/1902,,Wesleyan,23,,Trinity (Connecticut),6,,
,,1902,10/25/1902,,Worcester Tech,0,,Tufts,18,,
,,1902,10/25/1902,,Tennessee,5,,Vanderbilt,12,,
,,1902,10/25/1902,,Holy Cross,11,,Vermont,5,,
,,1902,10/25/1902,,Army,28,,Williams,0,,
,,1902,10/25/1902,,Beloit,17,,Wisconsin-Oshkosh,0,,
,,1902,10/27/1902,,Louisiana State,5,,Auburn,0,,
,,1902,10/28/1902,,Georgetown,0,,Lafayette,23,,
,,1902,10/29/1902,,Knox,5,,Kansas,0,,
,,1902,10/30/1902,,South Carolina,12,,Clemson,6,,
,,1902,11/1/1902,,Chicago,18,,Beloit,0,,
,,1902,11/1/1902,,Lafayette,6,,Brown,5,,
,,1902,11/1/1902,,Harvard,23,,Carlisle,0,,
,,1902,11/1/1902,,Pennsylvania,17,,Columbia,0,,
,,1902,11/1/1902,,Princeton,10,,Cornell,0,,
,,1902,11/1/1902,,Wesleyan,5,,Dartmouth,12,,
,,1902,11/1/1902,,Virginia,35,,Davidson,0,,
,,1902,11/1/1902,,Steelton YMCA,28,,Dickinson,0,,
,,1902,11/1/1902,,Cornell (Iowa),0,,Drake,6,,
,,1902,11/1/1902,,Alabama,0,,Georgia,5,,"@ Birmingham, AL"
,,1902,11/1/1902,,Furman,0,,Georgia Tech,0,,
,,1902,11/1/1902,,Minnesota,102,,Grinnell,0,,
,,1902,11/1/1902,,North Carolina State,28,,Guilford,5,,
,,1902,11/1/1902,,Nebraska,28,,Haskell,0,,
,,1902,11/1/1902,,Tufts,11,,Holy Cross,5,,
,,1902,11/1/1902,,Illinois,47,,Indiana,0,,
,,1902,11/1/1902,,Iowa,12,,Iowa State,6,,
,,1902,11/1/1902,,Haverford,0,,Lehigh,39,,
,,1902,11/1/1902,,Denver,11,,Longmont High,0,,
,,1902,11/1/1902,,Wisconsin,0,,Michigan,6,,"@ Chicago, IL"
,,1902,11/1/1902,,Tulane,11,,Mississippi State,11,,
,,1902,11/1/1902,,Boston College,6,,New Hampshire,10,,
,,1902,11/1/1902,,Virginia Military Institute,10,,North Carolina,17,,"@ Lynchburg, VA"
,,1902,11/1/1902,,Ohio Medical,5,,Notre Dame,6,,
,,1902,11/1/1902,,Navy,0,,Penn State,6,,
,,1902,11/1/1902,,Northwestern,0,,Purdue,5,,
,,1902,11/1/1902,,Vermont,11,,Rensselaer,6,,
,,1902,11/1/1902,,Tennessee,6,,Sewanee,0,,
,,1902,11/1/1902,,Mississippi,42,,Tennessee-Memphis,0,,
,,1902,11/1/1902,,Texas,27,,Trinity (Texas),0,,
,,1902,11/1/1902,,Bucknell,62,,Villanova,5,,
,,1902,11/1/1902,,Missouri,28,,Washburn,0,,
,,1902,11/1/1902,,Vanderbilt,33,,Washington (Missouri),12,,
,,1902,11/1/1902,,Georgetown,5,,West Virginia,0,,
,,1902,11/1/1902,,Syracuse,26,,Williams,17,,
,,1902,11/1/1902,,Amherst,16,,Williston,0,,
,,1902,11/1/1902,,Army,6,,Yale,6,,
,,1902,11/3/1902,,Colorado,28,,Colorado Mines,0,,
,,1902,11/3/1902,,Creighton,6,,Haskell,17,,
,,1902,11/4/1902,,Colorado State,6,,Colorado College,29,,
,,1902,11/5/1902,,Brown,45,,Tufts,12,,
,,1902,11/6/1902,,Auburn,0,,Sewanee,6,,"@ Birmingham, AL"
,,1902,11/7/1902,,Georgia,27,,Davidson,0,,
,,1902,11/7/1902,,Nashville,0,,Tennessee,10,,
,,1902,11/8/1902,,Exeter,29,,Boston College,0,,
,,1902,11/8/1902,,Amherst,16,,Bowdoin,0,,
,,1902,11/8/1902,,Columbia,0,,Brown,28,,
,,1902,11/8/1902,,Yale,36,,Bucknell,5,,
,,1902,11/8/1902,,Iowa State,53,,Coe,0,,
,,1902,11/8/1902,,Williams,16,,Colgate,5,,
,,1902,11/8/1902,,Virginia Tech,28,,Georgetown,0,,
,,1902,11/8/1902,,Clemson,36,,Georgia,0,,
,,1902,11/8/1902,,Penn State,37,,Gettysburg,0,,
,,1902,11/8/1902,,Drake,22,,Grinnell,0,,neutral
,,1902,11/8/1902,,Texas,0,,Haskell,12,,
,,1902,11/8/1902,,Dickinson,34,,Haverford,0,,
,,1902,11/8/1902,,Pittsfield A.C.,0,,Holy Cross,2,,
,,1902,11/8/1902,,Minnesota,17,,Illinois,5,,
,,1902,11/8/1902,,Chicago,39,,Indiana,0,,
,,1902,11/8/1902,,Michigan,107,,Iowa,0,,
,,1902,11/8/1902,,Nebraska,16,,Kansas,0,,
,,1902,11/8/1902,,Navy,12,,Lafayette,11,,
,,1902,11/8/1902,,Beloit,0,,Lawrence,24,,
,,1902,11/8/1902,,Virginia,6,,Lehigh,34,,"@ Washington, DC"
,,1902,11/8/1902,,Tufts,0,,Massachusetts,5,,
,,1902,11/8/1902,,Louisiana State,6,,Mississippi,0,,"@ New Orleans, LA"
,,1902,11/8/1902,,Alabama,27,,Mississippi State,0,,
,,1902,11/8/1902,,Washington (Missouri),0,,Missouri,27,,
,,1902,11/8/1902,,North Carolina State,0,,North Carolina,0,,
,,1902,11/8/1902,,Knox,12,,Notre Dame,5,,"@ Rock Island, IL"
,,1902,11/8/1902,,Harvard,11,,Pennsylvania,0,,
,,1902,11/8/1902,,Greer,0,,Purdue,73,,
,,1902,11/8/1902,,Dartmouth,11,,Springfield,0,,
,,1902,11/8/1902,,Georgia Tech,0,,St. Albans,17,,
,,1902,11/8/1902,,Carlisle,24,,Susquehanna,0,,
,,1902,11/8/1902,,Vanderbilt,16,,Transylvania,5,,
,,1902,11/8/1902,,Texas A&M,17,,Tulane,5,,
,,1902,11/8/1902,,Army,56,,Union (New York),0,,
,,1902,11/8/1902,,Wesleyan,0,,Vermont,5,,
,,1902,11/8/1902,,Cornell,50,,Washington & Jefferson,0,,
,,1902,11/8/1902,,Northwestern,0,,Wisconsin,51,,
,,1902,11/10/1902,,Furman,0,,St. Albans,0,,
,,1902,11/11/1902,,Georgia,0,,Sewanee,11,,"@ Atlanta, GA"
,,1902,11/12/1902,,Missouri,22,,Oklahoma,5,,
,,1902,11/13/1902,,Georgia Tech,6,,Davidson,7,,
,,1902,11/14/1902,,Furman,10,,South Carolina,0,,
,,1902,11/15/1902,,Notre Dame,92,,American Medical,0,,
,,1902,11/15/1902,,Columbia,0,,Amherst,29,,
,,1902,11/15/1902,,Syracuse,0,,Army,46,,
,,1902,11/15/1902,,Northwestern,10,,Beloit,0,,
,,1902,11/15/1902,,Tufts,26,,Boston College,0,,
,,1902,11/15/1902,,Navy,0,,Bucknell,23,,
,,1902,11/15/1902,,Pennsylvania,0,,Carlisle,5,,
,,1902,11/15/1902,,Auburn,0,,Clemson,16,,
,,1902,11/15/1902,,Denver,0,,Colorado College,6,,
,,1902,11/15/1902,,Colorado Mines,6,,Colorado State,6,,
,,1902,11/15/1902,,Grinnell,11,,Cornell (Iowa),5,,
,,1902,11/15/1902,,Sewanee,22,,Cumberland,0,,
,,1902,11/15/1902,,Harvard,16,,Dartmouth,6,,
,,1902,11/15/1902,,Lehigh,0,,Dickinson,11,,
,,1902,11/15/1902,,North Carolina,5,,Georgetown,12,,neutral
,,1902,11/15/1902,,Kansas,5,,Haskell,24,,
,,1902,11/15/1902,,Fordham,0,,Holy Cross,17,,
,,1902,11/15/1902,,Ohio State,0,,Illinois,0,,
,,1902,11/15/1902,,Purdue,39,,Indiana,0,,
,,1902,11/15/1902,,Washington (Missouri),0,,Iowa,61,,
,,1902,11/15/1902,,Drake,0,,Iowa State,0,,
,,1902,11/15/1902,,Nebraska,7,,Knox,0,,
,,1902,11/15/1902,,Cornell,28,,Lafayette,0,,
,,1902,11/15/1902,,Chicago,0,,Michigan,21,,
,,1902,11/15/1902,,Tennessee,11,,Mississippi,10,,"@ Memphis, TN"
,,1902,11/15/1902,,Samford,0,,Mississippi State,26,,
,,1902,11/15/1902,,Brown,11,,Springfield,0,,
,,1902,11/15/1902,,Nashville,5,,Texas,11,,
,,1902,11/15/1902,,Vermont,29,,Union (New York),0,,
,,1902,11/15/1902,,Tulane,5,,Vanderbilt,23,,
,,1902,11/15/1902,,Virginia,6,,Virginia Tech,0,,
,,1902,11/15/1902,,Wesleyan,5,,Williams,28,,
,,1902,11/15/1902,,Minnesota,11,,Wisconsin,0,,
,,1902,11/15/1902,,Massachusetts,0,,Worcester Tech,6,,
,,1902,11/15/1902,,Princeton,5,,Yale,12,,
,,1902,11/17/1902,,Louisiana State,5,,Vanderbilt,27,,
,,1902,11/19/1902,,Navy,0,,Columbia,5,,
,,1902,11/19/1902,,Alabama,0,,Texas,10,,
,,1902,11/20/1902,,Emporia State,5,,Kansas,17,,
,,1902,11/20/1902,,Iowa,0,,Missouri,6,,
,,1902,11/21/1902,,Knox,17,,Lombard,0,,
